indice,titulo,artista,ano,score,emotional_abuse,jealousy_possessive,dependency,violence_or_betrayal,justificativa
0,The Battle Of New Orleans,Johnny Horton,1959.0,0.0,False,False,False,False,
2,Personality,Lloyd Price,1959.0,0.3,False,False,True,False,
3,Venus,Frankie Avalon,1959.0,0.3,False,False,True,False,
4,Lonely Boy,Paul Anka,1959.0,0.3,False,False,True,False,
5,Dream Lover,Bobby Darin,1959.0,0.3,False,False,True,False,
6,The Three Bells,Browns,1959.0,0.0,False,False,False,False,
7,Come Softly To Me,Fleetwoods,1959.0,0.6,False,False,True,False,
8,Kansas City,Wilbert Harrison,1959.0,0.3,False,False,True,False,
9,Mr. Blue,Fleetwoods,1959.0,0.8,False,True,True,False,
10,Sleep Walk,Santo and Johnny,1959.0,0.0,False,False,False,False,
11,Put Your Head On My Shoulder,Paul Anka,1959.0,0.3,False,False,True,False,
13,Donna,Ritchie Valens,1959.0,0.3,False,False,True,False,
15,Smoke Gets In Your Eyes,Platters,1959.0,0.3,False,False,True,False,
16,Charlie Brown,Coasters,1959.0,0.0,False,False,False,False,
17,Quiet Village,Martin Denny,1959.0,0.3,False,False,True,False,
18,My Heart Is An Open Book,Carl Dobkins Jr.,1959.0,0.3,False,True,False,False,
19,('Til) I Kissed You,Everly Brothers,1959.0,0.6,False,False,True,False,
20,Sea Of Love,Phil Phillips and The Twilights,1959.0,0.3,False,False,True,False,
21,The Happy Organ,"Dave ""Baby"" Cortez",1959.0,1.0,False,False,True,False,
22,I'm Gonna Get Married,Lloyd Price,1959.0,0.3,False,False,True,False,
23,Sorry (I Ran All The Way Home),Impalas,1959.0,0.3,False,False,True,False,
24,A Teenager In Love,Dion and The Belmonts,1959.0,0.3,False,False,True,False,
26,It's Just A Matter Of Time,Brook Benton,1959.0,0.3,False,False,True,False,
27,Lipstick On Your Collar,Connie Francis,1959.0,0.6,False,True,False,False,
28,There Goes My Baby,Drifters,1959.0,0.3,False,True,True,False,
29,A Big Hunk O' Love,Elvis Presley,1959.0,0.3,False,False,True,False,
31,Waterloo,Stonewall Jackson,1959.0,0.3,False,False,True,True,
33,(Now And Then There's) A Fool Such As I,Elvis Presley,1959.0,0.3,False,False,True,False,
34,Guitar Boogie Shuffle,Virtues,1959.0,0.5,False,False,False,False,
35,Teen Beat,Sandy Nelson,1959.0,0.6,False,False,False,False,
37,Tragedy,Thomas Wayne,1959.0,0.3,False,False,True,False,
38,My Happiness,Connie Francis,1959.0,0.3,False,False,True,False,
41,Never Be Anyone Else But You,Ricky Nelson,1959.0,0.3,False,True,True,False,
42,Don't You Know,Della Reese,1959.0,0.3,False,False,True,False,
43,I Need Your Love Tonight,Elvis Presley,1959.0,0.3,False,False,True,False,
44,What A Diff'rence A Day Makes,Dinah Washington,1959.0,0.3,False,False,True,False,
46,Primrose Lane,Jerry Wallace,1959.0,0.3,False,False,True,False,
47,Alvin's Harmonica,David Seville and The Chipmunks,1959.0,0.3,False,False,True,False,
48,Lonely Street,Andy Williams,1959.0,0.3,False,False,True,False,
49,What'd I Say,Ray Charles,1959.0,0.3,False,False,True,False,
50,Broken-hearted Melody,Sarah Vaughan,1959.0,0.3,False,False,True,False,
51,Only You,Franck Pourcel,1959.0,0.6,False,False,True,False,
52,Gotta Travel On,Billy Grammer,1959.0,0.3,False,True,False,False,
53,Poison Ivy,Coasters,1959.0,0.5,False,True,False,False,
54,Turn Me Loose,Fabian,1959.0,0.3,False,False,True,False,
55,Lonely Teardrops,Jackie Wilson,1959.0,0.3,False,False,True,False,
56,Hawaiian Wedding Song,Andy Williams,1959.0,0.3,False,False,True,False,
57,Forty Miles Of Bad Road,Duane Eddy,1959.0,0.3,False,False,True,False,
58,Just Ask Your Heart,Frankie Avalon,1959.0,0.3,False,False,True,False,
59,Tell Him No,Travis and Bob,1959.0,0.8,True,True,False,True,
60,Frankie,Connie Francis,1959.0,0.3,False,False,True,False,
61,I've Had It,Bell Notes,1959.0,0.3,False,False,True,False,
62,I Cried A Tear,Lavern Baker,1959.0,0.3,False,False,True,False,
63,Enchanted,Platters,1959.0,0.0,False,False,False,False,
64,Since I Don't Have You,Skyliners,1959.0,0.6,False,False,True,False,
65,Peter Gunn Theme,Ray Anthony,1959.0,0.0,False,False,False,False,
66,The Chipmunk Song,David Seville and The Chipmunks,1959.0,0.0,False,False,False,False,
67,I Want To Walk You Home,Fats Domino,1959.0,0.3,False,False,True,False,
68,So Fine,Fiestas,1959.0,0.0,False,False,False,False,
69,Bobby Sox To Stockings,Frankie Avalon,1959.0,0.3,False,False,True,False,
71,A Lover's Question,Clyde Mcphatter,1959.0,0.3,False,False,True,False,
72,I Only Have Eyes For You,Flamingos,1959.0,0.3,False,True,True,False,
73,It's Late,Ricky Nelson,1959.0,0.3,False,False,True,False,
75,Tall Paul,Annette,1959.0,0.0,False,False,False,False,
77,Just A Little Too Much,Ricky Nelson,1959.0,0.3,False,False,True,False,
78,Goodbye Baby,Jack Scott,1959.0,0.3,False,False,True,False,
79,Along Came Jones,Coasters,1959.0,0.8,True,False,True,True,
81,A Boy Without A Girl,Frankie Avalon,1959.0,0.3,False,False,True,False,
82,Sweeter Than You,Ricky Nelson,1959.0,0.6,False,False,True,False,
83,It Was I,Skip and Flip,1959.0,0.3,False,False,True,False,
