indice,titulo,artista,ano,nivel_toxicidade,abuso_emocional,ciume_possessividade,dependencia,objetificacao,violencia_traicao,justificativa
0,Vehicle,Ides Of March,1970.0,baixo,False,False,False,False,False,"A letra não possui frases que validem, romantizem ou naturalizem comportamentos abusivos, possessivos, controladores ou qualquer dinâmica prejudicial à saúde emocional. O eu-lírico apresenta-se como um estranho amigável e oferece viagens a uma mulher, sem nenhuma coerção ou pressão. A letra não possui conteúdo sexual explícito nem referências a violência ou abuso emocional. Por outro lado, a letra pode ser interpretada como manipulativa, pois o eu-lírico oferece viagens e presentes para conquistar a mulher, mas não há nenhuma coerção ou pressão explícita."
1,S&M;,Rihanna,2011.0,muito alto,False,False,False,False,False,"A letra de ""S&M"" de Rihanna apresenta temas de sadomasoquismo e BDSM, que podem ser considerados como comportamentos abusivos se não praticados consensualmente. Além disso, a música glorifica e romantiza esses comportamentos, naturalizando-os como parte da experiência amorosa. A letra também apresenta frases que podem ser interpretadas como submissão sexual, como ""Sticks and stones may break my bones / But chains and whips excite me"". Essas frases podem ser vistas como problemáticas, pois sugerem que a dor física é desejável e que o sofrimento é parte da experiência amorosa. Por essas razões, a letra de ""S&M"" pode ser considerada como tendo nível de toxicidade alto."
2,In The Night,Weeknd,2016.0,muito alto,False,False,False,False,False,"A letra descreve uma situação de dependência emocional e abuso, onde a pessoa é forçada a dançar para aliviar o sofrimento causado por um relacionamento tóxico. O eu-lírico não parece ter consciência da situação ou não se importa com os problemas que a outra pessoa está enfrentando. Além disso, há referências a uma pessoa que é fria e cruel, o que pode ser interpretado como abuso emocional. Esses elementos reforçam a ideia de relacionamento tóxico e dependência emocional."
3,Layla,Derek and The Dominos,1972.0,alto,False,False,False,False,False,"A letra de ""Layla"" expressa uma dependência emocional profunda e desesperada do eu-lírico diante da personagem Layla. ""(What'll you do when you get lonely / And nobody's waiting by your side / You've been running and hiding much too long / You know it's just your foolish pride)"" expressa medo de sofrimento e isolamento, sugerindo um ciclo de dor emocional. ""(I tried to give you consolation / When your old man had let you down / Like a fool, I fell in love with you / Turned my whole world upside down)"" reflete uma dinâmica de autoanulação e dependência emocional, onde o eu-lírico se coloca em posição de salvador. ""(Layla, darling won't you ease my worried mind)"" expressa uma dependência emocional recorrente diante da personagem Layla, sugerindo um ciclo de dor emocional e dependência. A letra não promove comportamentos saudáveis ou autoestima, mas sim uma dinâmica de dependência emocional e autoanulação."
4,Beautiful,Akon feat. Colby O'Donis and Kardinal Offishall,2009.0,muito baixo,False,False,False,False,False,"A letra de ""I See You"" é centrada na admiração e desejo romântico do eu-lírico pela garota. O eu-lírico expressa sua intenção de estar com ela, mas respeita sua independência e não tenta controlá-la ou possuí-la. Não há frases que validem, romantizem ou naturalizem comportamentos abusivos, possessivos, controladores ou qualquer dinâmica prejudicial à saúde emocional. Pelo contrário, a música serve como exemplo de admiração e desejo romântico saudável e respeitoso."
5,Come On Over Baby (All I Want Is You),Christina Aguilera,2000.0,muito alto,False,False,False,False,False,"A letra de ""All I Want Is You"" expressa um desejo intenso e possessivo do eu-lírico por o outro, que pode ser interpretado como uma pressão ou coação para que a pessoa se aproxime. ""(Hey, boy, don't you know I've got something going on /I've got an invitation, don't you keep me waiting all night long)"" e ""(Don't you wanna be the one tonight /We could do exactly what you like /Don't you wanna be just you and me?)"" podem ser interpretados como uma tentativa de controlar a pessoa desejada. Além disso, ""(I'm not just talking about your sexuality /But I can't help myself, when you put your hands on me)"" e ""(You give me... What a girl feels, what a girl likes /What a girl needs, what a girl wants)"" podem ser interpretados como uma tentativa de manipular as necessidades e desejos da pessoa desejada. Por fim, ""(All I want is you /Now baby don't be shy, you better cross the line /I'm gonna love you right 'Cause all I want is you)"" pode ser interpretado como uma tentativa de coação para que a pessoa se aproxime e se envolva em um relacionamento. Essas frases podem ser prejudiciais à saúde emocional da pessoa desejada, promovendo dependência emocional e submissão."
6,Do Anything,Natural Selection,1991.0,muito alto,False,False,False,False,False,"A letra de ""Do Anything for Your Lovin'"" expressa uma dependência emocional extrema e submissão do eu-lírico diante da pessoa amada. ""(I'll do anything for your loving)"" e ""(I'll do most anything)"" reforçam a ideia de que o eu-lírico está disposto a fazer qualquer coisa para agradar a pessoa amada, mesmo que isso seja prejudicial à sua integridade e autonomia. ""(Talk to me / First thing in the morning / I'll be at your door)"" e ""(Buzz me up at 5 AM / And I don't mind at all)"" indicam uma dependência emocional excessiva, onde o eu-lírico espera constantemente por contato com a pessoa amada. ""(You got to know / The way I feel / Is for real / Its everlasting)"" e ""(Me what you need / And Ill take heed / And lead you in the right direction for affection)"" reforçam a ideia de que o eu-lírico está disposto a sacrificar sua própria integridade emocional para agradar a pessoa amada. Por fim, ""(You're crazy / I don't know about you / But I think I like you)"" e ""(Do anything for your lovin' / Could you find the time to make me yours?)"" indicam uma dependência emocional excessiva e submissão do eu-lírico diante da pessoa amada, o que pode ser prejudicial à saúde emocional."
7,Carry On,fun.,2013.0,muito baixo,False,False,False,False,False,"A letra de ""Shining Stars"" é centrada na superação, resiliência e empoderamento após o fim de um relacionamento. O eu-lírico reforça sua força, autonomia e crescimento pessoal, rejeitando qualquer dependência emocional ou submissão. Não há frases que validem, romantizem ou naturalizem comportamentos abusivos, possessivos, controladores ou qualquer dinâmica prejudicial à saúde emocional. Pelo contrário, a música serve como exemplo de narrativa positiva pós-relacionamento tóxico, promovendo autoestima e independência."
8,Work It,"Missy ""Misdemeanor"" Elliott",2002.0,na,False,False,False,False,False,"A letra apresenta linguagem sexual explícita e objetiva, além de referências a prostituição. Enquanto não há frases que validem, romantizem ou naturalizem comportamentos abusivos, possessivos, controladores ou qualquer dinâmica prejudicial à saúde emocional, a linguagem e as referências podem ser consideradas ofensivas para algumas pessoas. Além disso, a letra não promove autoestima ou independência, mas sim uma procura de satisfação sexual."
9,Switch,Will Smith,2005.0,muito baixo,False,False,False,False,False,"A letra de ""Switch"" é centrada na dança, música e entretenimento em um ambiente social. O eu-lírico não expressa qualquer sentimento de dependência emocional ou submissão, nem há frases que validem, romantizem ou naturalizem comportamentos abusivos, possessivos, controladores ou qualquer dinâmica prejudicial à saúde emocional. Pelo contrário, a música serve como exemplo de narrativa positiva e descontraída, promovendo diversão e liberdade na dança."
