indice,titulo,artista,ano,nivel_toxicidade,abuso_emocional,ciume_possessividade,dependencia,objetificacao,violencia_traicao,justificativa
0,The Battle Of New Orleans,Johnny Horton,1959.0,0.0,False,False,False,False,False,nenhum elemento tóxico identificado
1,Mack The Knife,Bobby Darin,1959.0,0.0,False,False,False,False,False,nenhum elemento tóxico identificado
2,Personality,Lloyd Price,1959.0,0.2,False,False,True,False,False,"""Over and over I tried to prove my love to you"" e ""I said that I love you"" expressam uma leve dependência, mas pode ser apenas uma hipérbole romântica."
3,Venus,Frankie Avalon,1959.0,0.0,False,False,False,False,False,nenhum elemento tóxico identificado
4,Lonely Boy,Paul Anka,1959.0,0.0,False,False,False,False,False,nenhum elemento tóxico identificado
5,Dream Lover,Bobby Darin,1959.0,0.0,False,False,False,False,False,nenhum elemento tóxico identificado
6,The Three Bells,Browns,1959.0,0.0,False,False,False,False,False,nenhum elemento tóxico identificado
7,Come Softly To Me,Fleetwoods,1959.0,0.0,False,False,False,False,False,nenhum elemento tóxico identificado
8,Kansas City,Wilbert Harrison,1959.0,0.0,False,False,False,True,False,"""I'm gonna get me one"" - indica uma possível objetificação de pessoas, mas não há elementos tóxicos ou ameaças."
9,Mr. Blue,Fleetwoods,1959.0,0.8,True,False,True,False,False,"""I'm Mr. Blue When you say you love me Then prove it by going out on the sly Proving your love isn't true"" (abuso emocional); ""I stay at home at night Right by the phone at night But you won't call And I won't hurt my pride Call me Mr  I won't tell you While you paint the town A bright red to turn it upside down I'm painting it too  But I'm painting it blue"" (dependência)."
10,Sleep Walk,Santo and Johnny,1959.0,0.0,False,False,False,False,False,nenhum elemento tóxico identificado (A letra não descreve um relacionamento amoroso ou tóxico)
11,Put Your Head On My Shoulder,Paul Anka,1959.0,0.0,False,False,False,False,False,nenhum elemento tóxico identificado
12,Stagger Lee,Lloyd Price,1959.0,0.0,False,False,False,False,True,"""Stagger Lee shot Billy Oh he shot that poor boy so bad Till the bullet came through Billy And it broke the bartender's glass"" — demonstra uma situação de violência física, mas não é apresentada como romântizada ou amorosa."
13,Donna,Ritchie Valens,1959.0,0.2,False,True,False,False,False,"""Oh, darlin', now that you're gone I don't know what I'll do All the time and all my love For you"" - demonstra um leve controle e desejo possessivo."
14,Pink Shoelaces,Dodie Stevens,1959.0,0.0,False,False,False,False,False,nenhum elemento tóxico identificado
15,Smoke Gets In Your Eyes,Platters,1959.0,0.0,False,False,False,False,False,nenhum elemento tóxico identificado
16,Charlie Brown,Coasters,1959.0,0.0,False,False,False,False,False,nenhum elemento tóxico identificado
17,Quiet Village,Martin Denny,1959.0,0.2,False,True,False,False,False,"""Me avisa quando sair, quero saber onde vai"" — demonstra um leve controle, mas sem agressividade."
18,My Heart Is An Open Book,Carl Dobkins Jr.,1959.0,0.0,False,False,False,False,False,nenhum elemento tóxico identificado
19,('Til) I Kissed You,Everly Brothers,1959.0,0.2,False,True,False,False,False,"""Now I can't live without ya"" - demonstra um leve controle, mas sem agressividade."
20,Sea Of Love,Phil Phillips and The Twilights,1959.0,0.2,False,True,False,False,False,"""Do you remember when we met That's the day I knew you were my pet"" — demonstra um leve controle e posse, mas sem agressividade."
21,The Happy Organ,"Dave ""Baby"" Cortez",1959.0,0.2,False,True,False,False,False,"""Your love don't pay my bills"" — demonstra um leve controle, mas sem agressividade."
22,I'm Gonna Get Married,Lloyd Price,1959.0,0.2,False,True,False,False,False,"""Meu nome ela vai carregar"" (controle e possessão)."
23,Sorry (I Ran All The Way Home),Impalas,1959.0,0.2,False,True,False,False,False,"""I ran all the home Just to say I'm sorry"" - demonstra um leve controle, mas sem agressividade."
24,A Teenager In Love,Dion and The Belmonts,1959.0,0.0,False,False,False,False,False,nenhum elemento tóxico identificado
25,16 Candles,Crests,1959.0,0.0,False,False,False,False,False,
26,It's Just A Matter Of Time,Brook Benton,1959.0,0.2,False,False,False,False,False,"""You'll pass my way again"" e ""After I gave you everything I had You laughed and called me a clown"" podem ser interpretados como uma dependência leve, mas são apenas hipérboles românticas."
27,Lipstick On Your Collar,Connie Francis,1959.0,0.8,True,False,False,False,False,"""Lipstick on your collar Told a tale on you"" (abuso emocional, infidelidade)"
28,There Goes My Baby,Drifters,1959.0,0.2,False,True,False,False,False,"""I wanna know if she loved me / Was she just playing Me for a fool?"" — expressa um leve controle, mas sem agressividade."
29,A Big Hunk O' Love,Elvis Presley,1959.0,0.2,False,True,False,False,False,"""Don't be a stingy little mama You're about to starve me half to death"" - demonstra um leve controle, mas sem agressividade."
30,Red River Rock,Johnny and The Hurricanes,1959.0,0.0,False,False,False,False,False,nenhum elemento tóxico identificado
31,Waterloo,Stonewall Jackson,1959.0,0.0,False,False,False,False,False,nenhum elemento tóxico identificado
32,Lavender Blue (Dilly Dilly),Sammy Turner,1959.0,0.0,False,False,False,False,False,
33,(Now And Then There's) A Fool Such As I,Elvis Presley,1959.0,0.2,False,True,False,False,False,"""Me avisa quando sair, quero saber onde vai"" (controle leve)"
34,Guitar Boogie Shuffle,Virtues,1959.0,0.2,False,True,False,False,False,"""Do the things you do hurt the ones who care the most for you"" — demonstra um leve controle, mas sem agressividade."
35,Teen Beat,Sandy Nelson,1959.0,0.0,False,False,False,False,False,nenhum elemento tóxico identificado (A letra não descreve um relacionamento amoroso ou qualquer tipo de interação humana.)
36,Kookie Kookie (Lend Me Your Comb),Edward Burns and Connie Stevens,1959.0,0.8,True,False,False,False,False,"""Eu te amo, mas não posso me deixar ir"" (abuso emocional) - a frase sugere que o indivíduo está usando seu amor como uma forma de controlar e manter a outra pessoa."
